Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Six-credit card holder in smooth and grained ash grey marquetry calfskin. Exterior: embossed double C logo, ruthenium-finish metal corners. Interior: ash grey calfskin, silver-coloured Cartier marking, six credit card slots, two banknote pocket. Dimensions: 91 mm high x 119 mm wide.",,aeid5482 ,£,L3001955,530,Must de Cartier 6-credit card wallet,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier simple card holder in grey calfskin with “Cartier” signature logo, grey enamel and golden finish. One large interior slot and three card slots on the back. Dimensions: 100 mm high x 70 mm wide",,aeid5482 ,£,L3001983,265,"Simple card holder, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier international wallet in dark green calfskin, gold and dark green enamel-finish “Cartier” signature. Interior: black calfskin, twelve credit card slots, one zipped coin pocket, two flat pockets, two gussets, golden hot-stamped “Cartier” signature. Dimensions: 190 mm high x 100 mm wide.",,aeid5482 ,£,L3001994,710,"International wallet with flap, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Simple card holder in graduated taupe calfskin. Exterior: embossed double C logo, palladium-finish metal corners, two credit card slots, one flat pocket. Dimensions: 70 mm high x 110 mm wide.",,aeid5482 ,£,L3001965,215,"Must de Cartier Small Leather Goods, card holder",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier card holder in pale pink calfskin with “Cartier” signature logo, pale pink enamel and gold finish. One large interior slot and three card slots on the back. Dimensions: 100 mm high x 70 mm wide",,aeid5482 ,£,L3001982,265,"Simple card holder, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Four-credit card holder in graduated taupe calfskin. Exterior: embossed double C logo, stainless steel metal corners. Interior: taupe calfskin, silver-coloured Cartier marking, four credit card slots, three flat pockets. Dimensions: 107 mm high x 71 mm wide.",,aeid5482 ,£,L3001966,320,"Must de Cartier Small Leather Goods, card holder",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier international wallet in pale pink calfskin, pale pink enamel and golden-finish “Cartier” signature. Interior: black calfskin, twelve credit card slots, one zipped coin pocket, two flat pockets, two gussets, golden hot-stamped “Cartier” signature. Dimensions: 190 mm high x 100 mm wide.",,aeid5482 ,£,L3001996,710,Double C de Cartier international wallet with flap,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier international wallet in grey calfskin, grey enamel and golden-finish “Cartier” signature. Interior: black calfskin, twelve credit card slots, one zipped coin pocket, two flat pockets, two gussets, golden hot-stamped “Cartier” signature. Dimensions: 190 mm high x 100 mm wide.",,aeid5482 ,£,L3001997,710,Double C de Cartier international wallet with flap,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier mini wallet in grey calfskin, grey enamel and golden-finish “Cartier” signature. Interior: black calfskin, one gusset, four credit card slots, one zipped pocket, one flat pocket, gold hot-stamped “Cartier” signature. Dimensions: 85 mm high x 110 mm wide.",,aeid5482 ,£,L3001989,530,"Mini wallet, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier mini wallet in pale pink calfskin, powder pink enamel and golden-finish “Cartier” signature. Interior: black calfskin, one gusset, four credit card slots, one zipped pocket, one flat pocket, gold hot-stamped “Cartier” signature. Dimensions: 85 mm high x 110 mm wide.",,aeid5482 ,£,L3001988,530,"Mini wallet, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Six-credit card holder in taupe non-animal material. Exterior: embossed double C logo, palladium-finish stainless steel corners. Interior: taupe non-animal material, silver-coloured Cartier marking, six credit card slots, two banknote pockets. Dimensions: 91 mm high x 119 mm wide",,aeid5482 ,£,L3001973,410,Must de Cartier 6-credit card wallet,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Six-credit card wallet in graduated taupe calfskin. Exterior: embossed double C logo, palladium-finish metal corners. Interior: taupe calfskin, silver “Cartier” marking, 6 credit card slots, 2 banknote pockets. Dimensions: 91 mm high x 119 mm wide",,aeid5482 ,£,L3001967,510,Must de Cartier 6-credit card wallet,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Burgundy calfskin zipped international wallet. Exterior: embossed double C logo, golden finish metal corners. Interior: burgundy calfskin, golden Cartier marking, twelve credit card pockets, two flat pockets, one inner zipped pocket, one gusseted pocket. Dimensions: 95 mm high x 188 mm wide",,aeid5482 ,£,L3001362,570,"Zipped International Wallet, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Nano model shoulder bag in cherry red calfskin, gold and cherry red enamel-finish clasp, golden hot stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 130 mm high x 170 mm wide x 60 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002296,"1,790","Shoulder Bag, Nano, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Black calfskin zipped international wallet. Exterior: embossed double C logo, stainless steel metal corners. Interior: burgundy calfskin, silver-coloured Cartier marking, twelve credit card pockets, two flat pockets, one inner zipped pocket, one gusseted pocket. Dimensions: 95 mm high x 188 mm wide.",,aeid5482 ,£,L3001363,570,"Zipped International Wallet, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier multi-card holder with flap in cherry red calfskin, golden and cherry red enamel-finish “Cartier” signature. Interior: black calfskin, two gusseted compartments, one zipped pocket, golden hot stamped “Cartier” signature. Dimensions: 110 mm high x 70 mm wide x 30 mm long.",,aeid5482 ,£,L3002032,500,Double C de Cartier multi-card holder with flap,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
